id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509372265661710342,1509372265661710342,2022-03-30 20:29:25 Pacific Daylight Time,2022-03-30,20:29:25,-0700,762020443373133826,libertysoap,libertybathandbody,,"Baby Rose Soap, Floral Large Bar Soap, Hand-Crafted Soap, Cocoa Butter Soap, Vegan Soap, Flower Soap Environmentally Friendly Feminine Scent  https://t.co/nrscP3PWy5 #ecofriendly ##WashYourHands #skincare ##Handwashing #Mensgrooming #LargeBarSoap  https://t.co/gSJzzbFucp",en,[],['https://tuppu.net/508d49a4'],"['https://pbs.twimg.com/media/FPJeEQoXMAcOSWd.jpg', 'https://pbs.twimg.com/media/FPJeEeiXwAMai8O.jpg', 'https://pbs.twimg.com/media/FPJeEsIXoAEAhz_.jpg', 'https://pbs.twimg.com/media/FPJeE4rXMAEXpwP.jpg']",0,9,2,"['ecofriendly', 'washyourhands', 'skincare', 'handwashing', 'mensgrooming', 'largebarsoap']",[],https://twitter.com/libertysoap/status/1509372265661710342,False,,1,https://pbs.twimg.com/media/FPJeEQoXMAcOSWd.jpg,,,,,,,[],,,,
1509371019081187329,1509371019081187329,2022-03-30 20:24:28 Pacific Daylight Time,2022-03-30,20:24:28,-0700,1506117578783346690,trendy__tribal,Trendy Tribal,,Square busket bag only Rs.1200/-  #sabaigrass #sabaibags #goldengrass #handmade #ecofriendly  #Tribal  https://t.co/Pw4n26EpXT,en,[],[],['https://pbs.twimg.com/media/FPJc5KvagAUW8e6.jpg'],0,0,1,"['sabaigrass', 'sabaibags', 'goldengrass', 'handmade', 'ecofriendly', 'tribal']",[],https://twitter.com/trendy__tribal/status/1509371019081187329,False,,1,https://pbs.twimg.com/media/FPJc5KvagAUW8e6.jpg,,,,,,,[],,,,
1509365475784130563,1509365475784130563,2022-03-30 20:02:26 Pacific Daylight Time,2022-03-30,20:02:26,-0700,978219066023403521,tbihindi,द बेटर इंडिया (The Better India - Hindi),,"दिल्ली में पाँच महिलाओं ने मिलकर ‘काकुल’ नाम से एक ऐसे मंच को शुरू किया, जहाँ न सिर्फ पर्यावरण के अनुकूल और हाथों से बने सौ से अधिक उत्पादों को बेचा जाता है, बल्कि इससे दूसरी महिला उद्यमियों को भी बढ़ावा मिल रहा है। #womenentrepreneurs #Kakul #Ecofriendly  https://t.co/sZgjKGa1yu",hi,[],['https://hindi.thebetterindia.com/62321/women-entrepreneurs-eco-friendly-kakul-eco-cancer-inspiring-stories-sustainble-startups/'],[],0,0,6,"['womenentrepreneurs', 'kakul', 'ecofriendly']",[],https://twitter.com/TbiHindi/status/1509365475784130563,False,,0,,,,,,,,[],,,,
1509364696280965124,1509364696280965124,2022-03-30 19:59:20 Pacific Daylight Time,2022-03-30,19:59:20,-0700,1484184961460563973,softmagazinemx,Soft Magazine Mx,,¿Cómo Coexistir Entre Outfits? -  https://t.co/RxeTuy1UZS via @SoftMagazineMx   #fashion #fastfashion #ropa #outfits #moda #ecologia #ecofriendly,es,"[{'screen_name': 'softmagazinemx', 'name': 'soft magazine mx', 'id': '1484184961460563973'}]",['https://softmagazine.mx/vida/como-coexistir-entre-outfits/'],[],0,0,0,"['fashion', 'fastfashion', 'ropa', 'outfits', 'moda', 'ecologia', 'ecofriendly']",[],https://twitter.com/SoftMagazineMx/status/1509364696280965124,False,,0,,,,,,,,[],,,,
1509363098578169856,1509363098578169856,2022-03-30 19:52:59 Pacific Daylight Time,2022-03-30,19:52:59,-0700,1300677995179380738,besdorshop,Besdor,,"20 GPM Large Flow Fast water output meets the needs of kitchen water, shower water and washing water at the same time, it’s suitable for any household.   https://t.co/xQnZQyuQKd  https://t.co/ZCpRtrdTJA  #besdor #ecofriendly #spindown #prefilter  https://t.co/WX3I6zw4OR",en,[],"['https://amzn.to/3tbPzwY', 'https://bit.ly/3h9A0jX']",['https://pbs.twimg.com/media/FPJVuPAVkAMj4A-.jpg'],0,0,0,"['besdor', 'ecofriendly', 'spindown', 'prefilter']",[],https://twitter.com/BesdorShop/status/1509363098578169856,False,,1,https://pbs.twimg.com/media/FPJVuPAVkAMj4A-.jpg,,,,,,,[],,,,
1509362434208780289,1509362431960657931,2022-03-30 19:50:21 Pacific Daylight Time,2022-03-30,19:50:21,-0700,1413449065350647811,sorganistry,Sustainable Organistry,,#Sustainable #ecofriendly #ClimateCrisis #climatechange #ClimateActionNow,und,[],[],[],0,0,2,"['sustainable', 'ecofriendly', 'climatecrisis', 'climatechange', 'climateactionnow']",[],https://twitter.com/SOrganistry/status/1509362434208780289,False,,0,,,,,,,,[],,,,
1509362211352895490,1509362211352895490,2022-03-30 19:49:28 Pacific Daylight Time,2022-03-30,19:49:28,-0700,963809774914625536,josefarceriver2,Jose f.arce rivera,,Green your clean with these DIY natural cleaning solutions:  https://t.co/L6dGfBDiRF #ecofriendly #allnatural a través de @PartSelect,en,"[{'screen_name': 'partselect', 'name': 'partselect.com', 'id': '44102166'}]",['https://www.fix.com/blog/diy-natural-household-cleaners/'],[],0,0,0,"['ecofriendly', 'allnatural']",[],https://twitter.com/Josefarceriver2/status/1509362211352895490,False,,0,,,,,,,,[],,,,
1509357360631930883,1509357360631930883,2022-03-30 19:30:11 Pacific Daylight Time,2022-03-30,19:30:11,-0700,174393781,cinemaverdefest,Cinema Verde,,"🎬Cinema Verde Presents: ""Love Reaches Everywhere""🎬  Stream on our website today!  #EnvironmentalFilmFestival #EnvironmentalFilm #FilmFestival #Environment #GoGreen #ClimateChange #EcoFriendly #Sustainability #GoGreenNation #CinemaVerde #WhyILoveGNV  https://t.co/T4r0mOLXmF",en,[],['https://www.cinemaverde.org/film-archives/love-reaches-everywhere'],[],0,1,0,"['environmentalfilmfestival', 'environmentalfilm', 'filmfestival', 'environment', 'gogreen', 'climatechange', 'ecofriendly', 'sustainability', 'gogreennation', 'cinemaverde', 'whyilovegnv']",[],https://twitter.com/CinemaVerdeFest/status/1509357360631930883,False,,0,,,,,,,,[],,,,
1509356280225402890,1509356280225402890,2022-03-30 19:25:54 Pacific Daylight Time,2022-03-30,19:25:54,-0700,174393781,cinemaverdefest,Cinema Verde,,"🎬Cinema Verde Presents: ""Sounding the Alarm – America's Climate Crisis""🎬  #EnvironmentalFilmFestival #EnvironmentalFilm #FilmFestival #Environment #GoGreen #ClimateChange #EcoFriendly #Sustainability #GoGreenNation #CinemaVerde #WhyILoveGNV  https://t.co/4oqP0k1XeC",en,[],['https://www.cinemaverde.org/film-archives/sounding-the-alarm-americas-climate-crisis'],[],0,1,1,"['environmentalfilmfestival', 'environmentalfilm', 'filmfestival', 'environment', 'gogreen', 'climatechange', 'ecofriendly', 'sustainability', 'gogreennation', 'cinemaverde', 'whyilovegnv']",[],https://twitter.com/CinemaVerdeFest/status/1509356280225402890,False,,0,,,,,,,,[],,,,
1509354290103853061,1509354290103853061,2022-03-30 19:17:59 Pacific Daylight Time,2022-03-30,19:17:59,-0700,1204341355939389440,earthsafellp,Earth Safe,,Keep your shoes well organized with drawstring attached shoe bags from Earth Safe. Shop now!  #EarthSafe #EcoFriendly #Bags  #ShoeBag  https://t.co/OycWR9RNxy,en,[],[],['https://pbs.twimg.com/media/FPJNuigXMAQ9AuP.jpg'],0,0,0,"['earthsafe', 'ecofriendly', 'bags', 'shoebag']",[],https://twitter.com/EarthsafeLLP/status/1509354290103853061,False,,1,https://pbs.twimg.com/media/FPJNuigXMAQ9AuP.jpg,,,,,,,[],,,,
